source,target
ariefwisnu1,NA
MonicaMedellin9,NA
_7ajii,NA
ariefwisnu1,NA
nishi_kansagara,NA
lovelymochi0709,NA
melydavira,NA
ariefwisnu1,NA
jinwoniecart,NA
Kerrie1802,NA
Jie1324,NA
iamlewakulture,NA
Corpses_Catgirl,NA
HopeEnergy7,NA
Namjoonsbaeeeee,NA
AngelieValerio,NA
iamlewakulture,NA
b_vsoo,NA
Sorabhs17816693,NA
jimin_gyul,NA
_smiling7,NA
mylkpsky_,NA
JinJinJaarah,NA
bts_trash18,NA
attiyahwolfie,NA
MonicaMedellin9,NA
7on_ugh,NA
MicmicSuga7,NA
Peace_Deprived,NA
ggukiettxx_,NA
btsmyhopeee,NA
tayade_vidisha,NA
tyarkookie,NA
hskzones,NA
MonicaMedellin9,NA
AzfarSadat,NA
GMuntashir,NA
MicmicSuga7,NA
fHemRocKs,NA
minaolv,NA
jimin_gyul,NA
chxrsiuu_,NA
juicexstory,NA
minsugadotcom_,NA
b_vsoo,NA
Taeesatan,NA
S24Army,NA
juicexstory,NA
aribetti,NA
choikenkou,NA
notjeonjk_,NA
AliciaGR06,NA
b_vsoo,NA
juicexstory,NA
MicmicSuga7,NA
KookiesNcreem,NA
btsmyhopeee,NA
win_odair,NA
MicmicSuga7,NA
Shairatess,NA
ARMYjjkooky,NA
marveltaee,NA
ann_engene,NA
bawa_698,NA
b_heemi,NA
KookiesNcreem,NA
b_vsoo,NA
AlvaroAlmeidaB1,NA
NajhanAin,NA
ValentinaARMY45,NA
kaylaerica_,NA
loeysplace,NA
win_odair,NA
diyasaravarghes,NA
Maheenjawad1,NA
YELL0WMINT,NA
AlvaroAlmeidaB1,NA
Corpses_Catgirl,NA
bangwoolatiny,NA
KookiesNcreem,NA
BtsSayuri123,NA
MrsChimchim13,NA
Fabi__min,NA
Jagdish12474996,NA
i1_niki,NA
ps_darkestlies,NA
bangwoolatiny,NA
bangtaennieee,NA
min_nea0328,NA
NatalyG87660397,NA
IXFORMIX,NA
kimtaehyung4rvr,NA
EmanFat75194471,NA
MicmicSuga7,NA
Mathewscj2,SumanthOffl
Tataboo23,NA
chillavocado,NA
Eatjin_14,NA
min_nea0328,NA
win_odair,NA
m_jinkim,NA
Corpses_Catgirl,NA
venus_babette,NA
moon7jinnie,NA
trisyaainaa,NA
Abigalbarretto2,NA
JINxKOOKxOT7,NA
Kimchi_maker,NA
LAWGI_,NA
nkgrxxI9SZZzpHL,NA
AigoBangtan,NA
tressie_BTS,NA
ArohiJk,NA
btsmyhopeee,NA
hnjfs_,NA
diyasaravarghes,NA
PMedhasree,NA
moonchildnamu2,NA
PyngropeDoryne,NA
win_odair,NA
tarmykook,NA
ImJHopeBias_,NA
JIMINisART,NA
aa_aeyn,NA
lislianoche,nicolle971_
joonmoonjar,NA
bttmyg,NA
hobiundercut,NA
Ratna_iam_well,NA
jiminz_got_jamz,NA
_alyhya_,NA
21lk21,NA
enbtavares,NA
aa_aeyn,NA
bestrapperyoon,NA
only_Army_ot7,NA
M_O_F_Os,NA
win_odair,NA
CandyMochi8,NA
tarmykook,NA
jiminz_got_jamz,NA
luv__ggukie,NA
littletaetots,NA
HopeEnergy7,NA
lvrkthv,NA
JFMochi07,NA
Mathewscj2,KakinadaAAArmy
mi__sugabae,NA
Kalash96234297,NA
nayseatings22_7,NA
AwiLuvU2,NA
PyngropeDoryne,NA
hobiuwusunshine,NA
jiminz_got_jamz,NA
Mathewscj2,BUNNY_SAI4602
Enseven15,NA
beathobi_,NA
yanaathirah24,NA
only_Army_ot7,NA
ImJHopeBias_,NA
fatima23Jm,NA
urshiney,NA
golden_rainJK,NA
ImFluffyTiger,NA
Mathewscj2,iamdspfan
moonchildmil,NA
MinNoraa,NA
sushimonojoonie,NA
biniseonho,NA
Mathewscj2,HassnaHibye123
fatima23Jm,NA
PyngropeDoryne,NA
Sreethikabts,NA
ImJHopeBias_,NA
blueMIN_13,BTS_twt
chiimmiiieee,NA
preasia_wilfred,NA
Corpses_Catgirl,NA
jenna_alex,NA
Rosebudsays,NA
theOT7ishere,NA
nsymmeee_,NA
BTSTaejin8,NA
Mathewscj2,ShaikBabaShabb7
snam31310392,NA
banerjeerosy5,NA
lislianoche,NA
jiminz_got_jamz,NA
preasia_wilfred,NA
2s3u0f9i0y5aAES,NA
chrishtaee,NA
Mathewscj2,DpsPrabhas
cherrykas7,NA
PyngropeDoryne,NA
agustleighh,NA
JasmineBajwa15,NA
Annyeonghasyeoo,NA
ImJHopeBias_,NA
Mathewscj2,PSPK_NetWorks
jeceloudoroteo6,NA
chrishtaee,NA
MapOfEmag,NA
JasmineBajwa15,NA
BTLUVS14,NA
innerchildcharu,NA
pckawcityx,NA
MoonTaehyung4,NA
JasmineBajwa15,NA
jaycapri0o,NA
zerifa_wahid,NA
crazy_af_army,NA
PyngropeDoryne,NA
JasmineBajwa15,NA
ImJHopeBias_,NA
snam31310392,NA
imzeenat,NA
catlra1,NA
Mathewscj2,Mathewscj2
kimyinaa,NA
btsrosii,NA
JasmineBajwa15,NA
preasia_wilfred,NA
AngmoChabo,NA
kimyinaa,NA
JasmineBajwa15,NA
seoulkthjk,NA
Mathewscj2,badampradeep7
augustamin2,NA
ImJHopeBias_,NA
kimyinaa,NA
JasmineBajwa15,NA
moon7jinnie,NA
taeillovecat,NA
Valenti37434238,NA
21lk21,NA
Mathewscj2,Reddy_Madhan1
Aeshv,NA
chrishtaee,NA
preasia_wilfred,NA
RRidge2000,NA
kimyinaa,NA
moon7jinnie,NA
jeonjungkuky201,NA
bts_euphoricx,NA
Nat18037840,NA
kimyinaa,NA
snam31310392,NA
preasia_wilfred,NA
chrishtaee,NA
Mathewscj2,RV4860
sribangtan7,NA
nsymmeee_,NA
kimyinaa,NA
Mathewscj2,__Mr_Alex__18
preasia_wilfred,NA
chrishtaee,NA
JasmineBajwa15,NA
OlveraXimema,NA
Yoonsoofi,NA
_justjennie,NA
SEOJindia,NA
Chwe_Choi_Xu,NA
rainvowd,NA
chrishtaee,NA
Sofiaa001s,NA
Filter2UGH,NA
Mathewscj2,WORTH__IT_
OlveraXimema,NA
jaemfiacytix,NA
gabriellaQatar,NA
myself_ammu,NA
JasmineBajwa15,NA
BorntoloveOT7_,NA
BTS07301,NA
Mathewscj2,AATEofficial
peachyjoon_23,NA
huimangjh,NA
chrishtaee,NA
ImJHopeBias_,NA
Mathewscj2,alluarjunholic_
preasia_wilfred,NA
fraahanii,NA
iyezhcHHJ04,NA
AndSPRYTE,NA
JasmineBajwa15,NA
Vslovelyjubbly,NA
fraahanii,NA
Moonriver15619,NA
0cabdb1f192241d,NA
ImJHopeBias_,NA
UnkreativXY,NA
agitegemeaux18,NA
Mathewscj2,SatyaGrahii
the_goldboots,NA
bangwoolatiny,NA
fraahanii,NA
strawferries,NA
JasmineBajwa15,NA
preasia_wilfred,NA
jaidifirst,NA
bulletproofHOYA,NA
JasmineBajwa15,NA
MinMeowShipda,NA
kstarworld100,NA
BTSARMY_QCPH,NA
onlybtsonlyarmy,NA
Mathewscj2,Ramakri27788038
gfV69963825,NA
dreamglow_13,NA
jjeonuqi_,BTS_twt
SamikshaGuptaSG,NA
gguk_WithYou,NA
preasia_wilfred,NA
chrishtaee,NA
silentxview,NA
Mathewscj2,varunteja446
tayade_vidisha,NA
Joonisworld7,NA
fraahanii,NA
shipuppyn_g,NA
fruityvity,NA
GL0SSYOONGI,NA
chrishtaee,NA
moon7jinnie,NA
_jiminiepaboo,NA
boopknj,NA
Mathewscj2,Subhash_JSP
vamihob18,NA
KDe_epsilon,NA
kstarworld100,NA
Nat18037840,NA
Joonisworld7,NA
BTSxheart,NA
zaynjinmin,NA
maxmedo6,NA
JasmineBajwa15,NA
fraahanii,NA
angeacsacaa,NA
CorvinousAlex,NA
medzie7,NA
MinMeowShipda,NA
2s3u0f9i0y5aAES,NA
littaeluvv,NA
Mathewscj2,MaheshBabuDHF6
smileehoyaa_,NA
Sanjana09819182,NA
SamikshaGuptaSG,NA
boopknj,NA
PrincessParcon2,NA
taeillovecat,NA
0613P0P,NA
alyajalil_,NA
haisovi,NA
JasmineBajwa15,NA
yoongaboo,NA
rajeycytyx,NA
shipuppyn_g,NA
accOT7forev,NA
JasmineBajwa15,NA
Roxyca_,NA
HobiGlitter,NA
VminBTS11706176,NA
borahaenika,NA
fraahanii,NA
Mathewscj2,NA
MinMeowShipda,NA
thisiskmt0313,NA
Corpses_Catgirl,NA
kstarworld100,NA
AnneJoedie,NA
BeTelepathy_,NA
JasmineBajwa15,NA
cryingforjmjk,NA
byemiraa,NA
erickashtle,NA
naciexx,NA
SuperChamchinie,NA
fraahanii,NA
its_gxyle,NA
Joonisworld7,NA
boopknj,NA
kstarworld100,NA
cthyab_,NA
jvenvenn,NA
hrts4namjoon,NA
JasmineBajwa15,NA
3jnyht,NA
Laura39644610,NA
jvenvenn,NA
yustisiakoo,NA
lucky_lazy_lad,NA
Laura39644610,NA
PyngropeDoryne,NA
JjinSunnie,NA
shipuppyn_g,NA
7_samsans,NA
Light32739540,NA
Milagro54102766,NA
Laura39644610,NA
tae_shoshi,NA
alyajalil_,NA
mimitia1,NA
