"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @seokjinmylabsss: bangtan surpassed 1M plus followers on instagram omg omg 
#btsoninstagram https://t.co/HdETtTIjT7",FALSE,0,NA,2021-12-06 13:17:33,FALSE,NA,"1467845667875741702",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ariefwisnu1",1699,TRUE,FALSE,NA,NA
"RT @EatKookieSnce97: Jeon Jungkook just change his profile on Instagram omooo
#btsoninstagram https://t.co/H2rVbLPseq",FALSE,0,NA,2021-12-06 13:17:31,FALSE,NA,"1467845660737167366",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MonicaMedellin9",79,TRUE,FALSE,NA,NA
"RT @dreamsaidhello: what the fck i just noticed that jungkook 's username doesn't have the letters j and k in it, this little genius btch L…",FALSE,0,NA,2021-12-06 13:17:30,FALSE,NA,"1467845658098946051",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_7ajii",168,TRUE,FALSE,NA,NA
"RT @baelattan: jungkook has officially done the most “gen-z raised by millennials” thing ever #btsoninstagram https://t.co/P7WC5gVPxG",FALSE,0,NA,2021-12-06 13:17:30,FALSE,NA,"1467845657314545666",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ariefwisnu1",1144,TRUE,FALSE,NA,NA
"Trending are more on bts..army are going crazy..#btsoninstagram trending on 1",FALSE,1,NA,2021-12-06 13:17:30,FALSE,NA,"1467845654823129088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nishi_kansagara",0,FALSE,FALSE,NA,NA
"RT @savedme_fine: Vmin🐯🐥 having separation anxiety and flirting through instagram😭💕💜
#btsoninstagram https://t.co/pNSMmLQaaf",FALSE,0,NA,2021-12-06 13:17:29,FALSE,NA,"1467845651199188994",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lovelymochi0709",467,TRUE,FALSE,NA,NA
"RT @seokjinmylabsss: bangtan surpassed 1M plus followers on instagram omg omg 
#btsoninstagram https://t.co/HdETtTIjT7",FALSE,0,NA,2021-12-06 13:17:27,FALSE,NA,"1467845645604036609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","melydavira",1699,TRUE,FALSE,NA,NA
"RT @hobigiggle: BTS opened their own Instagram accounts y'all 2022 is gonna be goooooooooooood !!!
#BTSONINSTAGRAM #BTS https://t.co/X8xfGK…",FALSE,0,NA,2021-12-06 13:17:27,FALSE,NA,"1467845643905290244",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ariefwisnu1",1403,TRUE,FALSE,NA,NA
"RT @ishyungshi: welcome to ig tannies~~📱📸
🐨🐹🐱🐿🐥🐻🐰 

ends 11:59pm 

- follow this account
- rt, like, tag friendsss
- 10 winners 🙋🏻‍♀️🙋🏻‍♀️…",FALSE,0,NA,2021-12-06 13:17:26,FALSE,NA,"1467845638545379328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jinwoniecart",216,TRUE,FALSE,NA,NA
"RT @NiniMochi94: can we just admire hobi's username. not only does it say ""you are my hope,"" it has ARMY in the middle of u and hope 

HOSE…",FALSE,0,NA,2021-12-06 13:17:26,FALSE,NA,"1467845638444531718",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kerrie1802",876,TRUE,FALSE,NA,NA
